"","Game_ID","Home_Team","Away_Team","Game_Date","Tot_Viewers","Month","Day","gameType","All_Star_Count","Is_Lebron_Playing","Has_Top_Five_Player","Time_Zone_Of_Game","Median_Views_Per_Matchup","Predicted_Average_Views_Per_Matchup_All","Is_Sat_or_Sun","Predicted_Average_Views_Per_Matchup_By_Month","revisedDate","bestRankAmongTeams","medianDeviation","averageDeviation","monthAverageDeviation"
"20",21600021,"OKC","PHX","10/28/2016",37236,10,"Friday","R",2,"NO","YES","CENTRAL",24417,25807.0962962963,"NO",27437.4027777778,"2016-10-28",5,0.344263615855624,0.306931563640125,0.263148491304711
"21",21600022,"MIA","CHA","10/28/2016",12886,10,"Friday","R",2,"NO","NO","EAST",12229,14465.2941176471,"NO",14351.75,"2016-10-28",9,0.0509855657302499,0.122558910262848,0.113747477882974
"22",21600024,"UTA","LAL","10/28/2016",25043,10,"Friday","R",1,"NO","NO","MOUNTAIN",25043,12989.6086956522,"NO",13012.8266666667,"2016-10-28",19,0,0.481307802753178,0.480380678566199
"23",21600025,"NOP","GSW","10/28/2016",46471,10,"Friday","R",4,"NO","YES","CENTRAL",42097,15234.5474452555,"NO",15638.7671232877,"2016-10-28",1,0.0941232166297261,0.672170871182986,0.663472550121846
"24",21600028,"NYK","MEM","10/29/2016",32002,10,"Saturday","R",1,"NO","NO","EAST",19997,17971.8489208633,"YES",19845.8767123288,"2016-10-29",15,0.375132804199737,0.438414820296753,0.379855111795239
"25",21600029,"CLE","ORL","10/29/2016",31859,10,"Saturday","R",1,"YES","YES","EAST",32933,34747.8294573643,"YES",35378.0149253731,"2016-10-29",3,0.0337110392667692,0.0906754592851108,0.110455912783613
"26",21600030,"CHI","IND","10/29/2016",22190,10,"Saturday","R",3,"NO","NO","CENTRAL",11375,16182.1640625,"YES",16617.1791044776,"2016-10-29",11,0.487381703470032,0.2707451977242,0.251141094886092
"27",21600031,"MIL","BKN","10/29/2016",21567,10,"Saturday","R",0,"NO","NO","CENTRAL",17952,15740.7731092437,"YES",16620.2063492063,"2016-10-29",22,0.167617192933649,0.270145448637098,0.229368648898486
"28",21600032,"SAS","NOP","10/29/2016",23391,10,"Saturday","R",3,"NO","YES","CENTRAL",19961.5,19676.1617647059,"YES",20133.095890411,"2016-10-29",2,0.146616219913642,0.158814853374978,0.139280240673295
"29",21600033,"DEN","POR","10/29/2016",27076,10,"Saturday","R",0,"NO","NO","MOUNTAIN",14543,12570.0833333333,"YES",12244.0526315789,"2016-10-29",13,0.462882257349682,0.535748141035111,0.547789458133441
"30",21600034,"SAC","MIN","10/29/2016",22179,10,"Saturday","R",1,"NO","NO","PACIFIC",14510.5,12237.7954545455,"YES",11890.5362318841,"2016-10-29",23,0.345754993462284,0.448226004123475,0.46388312223797
"31",21600035,"LAC","UTA","10/30/2016",28903,10,"Sunday","R",1,"NO","NO","PACIFIC",16571.5,15720.2028985507,"YES",16774.5135135135,"2016-10-30",6,0.426651212676885,0.456104802319803,0.419627252758762
"32",21600036,"PHX","GSW","10/30/2016",50617,10,"Sunday","R",3,"NO","YES","MOUNTAIN",21810,12174.5109489051,"YES",13141.3611111111,"2016-10-30",1,0.569117095047119,0.759477824665525,0.740376531380542
"33",21600037,"MIA","SAS","10/30/2016",32314,10,"Sunday","R",4,"NO","NO","EAST",23242.5,14465.2941176471,"YES",14351.75,"2016-10-30",2,0.280729714674754,0.552352103804943,0.555865878566566
"34",21600038,"DET","MIL","10/30/2016",12556,10,"Sunday","R",1,"NO","NO","EAST",10922,13128.0454545455,"YES",14378.4714285714,"2016-10-30",12,0.13013698630137,0.0455595296707115,0.145147453693169
"35",21600039,"MEM","WAS","10/30/2016",14195,10,"Sunday","R",1,"NO","NO","CENTRAL",11141.5,11201.5538461538,"YES",11224.8153846154,"2016-10-30",15,0.215110954561465,0.210880320806351,0.209241607283171
"36",21600040,"OKC","LAL","10/30/2016",36658,10,"Sunday","R",3,"NO","YES","CENTRAL",23603,25807.0962962963,"YES",27437.4027777778,"2016-10-30",5,0.356129630639969,0.296003701885092,0.251530285946375
"37",21600041,"HOU","DAL","10/30/2016",24543,10,"Sunday","R",1,"NO","YES","CENTRAL",13421,19868.5259259259,"YES",18909.3552631579,"2016-10-30",14,0.453163834902009,0.190460582409407,0.229541813830506
"38",21600042,"TOR","DEN","10/31/2016",24322,10,"Monday","R",2,"NO","NO","EAST",18192,16713.4820143885,"NO",17234.1052631579,"2016-10-31",4,0.252035194474139,0.312824520418202,0.291419074781766
"39",21600043,"BKN","CHI","10/31/2016",33346,10,"Monday","R",2,"NO","NO","EAST",25259.5,12836.2480620155,"NO",13633.59375,"2016-10-31",16,0.242502848917411,0.615058835781938,0.591147551430456
"40",21600044,"ATL","SAC","10/31/2016",23520,10,"Monday","R",3,"NO","NO","EAST",15621.5,12830.5214285714,"NO",12916.1643835616,"2016-10-31",7,0.335820578231293,0.45448463313897,0.450843351039046
"41",21600045,"LAC","PHX","10/31/2016",22836,10,"Monday","R",1,"NO","NO","PACIFIC",11796.5,15720.2028985507,"NO",16774.5135135135,"2016-10-31",6,0.483425293396392,0.311604357218833,0.265435561678336
"42",21600046,"PHI","ORL","11/1/2016",21285,11,"Tuesday","R",0,"NO","NO","EAST",20171,19598.6,"NO",21474.447761194,"2016-11-01",15,0.0523373267559314,0.0792295043457835,0.00890052906713794
"43",21600047,"CLE","HOU","11/1/2016",45160,11,"Tuesday","R",2,"YES","YES","EAST",42012.5,34747.8294573643,"NO",35420.0410958904,"2016-11-01",2,0.0696966341895483,0.230561792352428,0.215676680781878
"44",21600051,"NOP","MIL","11/1/2016",14356,11,"Tuesday","R",1,"NO","YES","CENTRAL",14226,15234.5474452555,"NO",15788.0731707317,"2016-11-01",9,0.0090554471997771,0.0611972307923846,0.0997543306444489
"45",21600052,"MIN","MEM","11/1/2016",12816,11,"Tuesday","R",0,"NO","NO","CENTRAL",9629.5,16818.802919708,"NO",16728.7710843373,"2016-11-01",3,0.248634519350811,0.312328567392949,0.305303611449544
"46",21600054,"POR","GSW","11/1/2016",37632,11,"Tuesday","R",3,"NO","YES","PACIFIC",32728,15273.7313432836,"NO",15213.8734177215,"2016-11-01",3,0.13031462585034,0.594129162859174,0.595719775251873
"47",21600055,"WAS","TOR","11/2/2016",18661,11,"Wednesday","R",3,"NO","NO","EAST",18661,15338.3970588235,"NO",15681.2432432432,"2016-11-02",6,0,0.178050637220753,0.159678300024477
"48",21600056,"CHA","PHI","11/2/2016",12396,11,"Wednesday","R",0,"NO","NO","EAST",12921.5,13155.2125984252,"NO",14887.2972972973,"2016-11-02",6,0.0423927073249435,0.0612465794147464,0.200975903299233
"49",21600057,"BKN","DET","11/2/2016",12283,11,"Wednesday","R",1,"NO","NO","EAST",5856,12836.2480620155,"NO",13516.1369863014,"2016-11-02",1,0.523243507286493,0.0450417700900028,0.100393795188583
"50",21600058,"NYK","HOU","11/2/2016",22497,11,"Wednesday","R",2,"NO","YES","EAST",19027.5,17971.8489208633,"NO",18895.3164556962,"2016-11-02",6,0.154220562741699,0.201144645025412,0.160096170347326
"51",21600059,"ATL","LAL","11/2/2016",22293,11,"Wednesday","R",3,"NO","NO","EAST",22293,12830.5214285714,"NO",14181.2117647059,"2016-11-02",1,0,0.424459631787044,0.363871539734182
"52",21600060,"MEM","NOP","11/2/2016",11902,11,"Wednesday","R",1,"NO","YES","CENTRAL",11902,11201.5538461538,"NO",11282.4605263158,"2016-11-02",6,0,0.0588511303853264,0.0520533921764586
"53",21600062,"UTA","DAL","11/2/2016",10241,11,"Wednesday","R",0,"NO","NO","MOUNTAIN",9324,12989.6086956522,"NO",12508.2771084337,"2016-11-02",6,0.089542036910458,0.268392607719185,0.221392159792377
"54",21600064,"LAC","OKC","11/2/2016",32263,11,"Wednesday","R",3,"NO","YES","PACIFIC",27050.5,15720.2028985507,"NO",16329.9882352941,"2016-11-02",1,0.161562780894523,0.512748259661199,0.493847805991566
"55",21600065,"ORL","SAC","11/3/2016",19494,11,"Thursday","R",1,"NO","NO","EAST",19494,12284.847826087,"NO",12796.6506024096,"2016-11-03",5,0,0.369813900375143,0.343559525884393
"56",21600067,"MIN","DEN","11/3/2016",15912,11,"Thursday","R",0,"NO","NO","CENTRAL",16068,16818.802919708,"NO",16728.7710843373,"2016-11-03",8,0.00980392156862745,0.0569886198911531,0.0513305105792703
"57",21600068,"CLE","BOS","11/3/2016",35052,11,"Thursday","R",2,"YES","YES","EAST",35052,34747.8294573643,"NO",35420.0410958904,"2016-11-03",1,0,0.00867769435797263,0.0104998600904488
"58",21600070,"WAS","ATL","11/4/2016",21556,11,"Friday","R",3,"NO","NO","EAST",11610,15338.3970588235,"NO",15681.2432432432,"2016-11-04",3,0.461402857673038,0.288439550063856,0.272534642640414
"59",21600071,"TOR","MIA","11/4/2016",16590,11,"Friday","R",4,"NO","NO","EAST",17716.5,16713.4820143885,"NO",17227.5411764706,"2016-11-04",3,0.0679023508137432,0.00744315939653345,0.0384292451157679
"60",21600072,"BKN","CHA","11/4/2016",12057,11,"Friday","R",0,"NO","NO","EAST",8876,12836.2480620155,"NO",13516.1369863014,"2016-11-04",3,0.263830140167538,0.0646303443655556,0.121019904312961
"61",21600074,"MEM","LAC","11/4/2016",11167,11,"Friday","R",1,"NO","NO","CENTRAL",6392.5,11201.5538461538,"NO",11282.4605263158,"2016-11-04",3,0.427554401361153,0.00309428191580956,0.0103394399852951
"62",21600075,"NOP","PHX","11/4/2016",19451,11,"Friday","R",1,"NO","YES","CENTRAL",8506,15234.5474452555,"NO",15788.0731707317,"2016-11-04",14,0.562696005346769,0.21677304790214,0.188315604815603
"63",21600076,"DAL","POR","11/4/2016",12324,11,"Friday","R",0,"NO","NO","CENTRAL",12324,12483.2945736434,"NO",13308.8421052632,"2016-11-04",10,0,0.0129255577445156,0.0799125369411846
"64",21600077,"UTA","SAS","11/4/2016",18885,11,"Friday","R",2,"NO","NO","MOUNTAIN",17186.5,12989.6086956522,"NO",12508.2771084337,"2016-11-04",1,0.0899391051098756,0.312173222364195,0.337660730292098
"65",21600078,"LAL","GSW","11/4/2016",50226,11,"Friday","R",4,"NO","YES","PACIFIC",47099,21512,"NO",22874.0625,"2016-11-04",1,0.062258591167921,0.571695934376618,0.544577260781269
"66",21600079,"OKC","MIN","11/5/2016",34055,11,"Saturday","R",2,"NO","YES","CENTRAL",34055,25807.0962962963,"YES",26510.6923076923,"2016-11-05",3,0,0.242193619254257,0.221533040443626
"67",21600080,"PHI","CLE","11/5/2016",54229,11,"Saturday","R",1,"YES","YES","EAST",47648,19598.6,"YES",21474.447761194,"2016-11-05",1,0.121355732172823,0.638595585387892,0.604004356318685
"68",21600081,"ORL","WAS","11/5/2016",13713,11,"Saturday","R",1,"NO","NO","EAST",13713,12284.847826087,"YES",12796.6506024096,"2016-11-05",10,0,0.104145859688839,0.0668234082688224
"69",21600083,"IND","CHI","11/5/2016",17387,11,"Saturday","R",3,"NO","NO","EAST",14318,13494.3043478261,"YES",14660.3580246914,"2016-11-05",5,0.176511186518663,0.223885411639381,0.156820726710108
"70",21600084,"ATL","HOU","11/5/2016",19454,11,"Saturday","R",3,"NO","YES","EAST",14207.5,12830.5214285714,"YES",14181.2117647059,"2016-11-05",5,0.269687467872931,0.340468724757303,0.271038770190918
"71",21600085,"MIL","SAC","11/5/2016",14313,11,"Saturday","R",1,"NO","NO","CENTRAL",13547.5,15740.7731092437,"YES",16752.661971831,"2016-11-05",5,0.0534828477607769,0.0997535882934184,0.170450777044015
"72",21600086,"SAS","LAC","11/5/2016",35096,11,"Saturday","R",3,"NO","NO","CENTRAL",17293.5,19676.1617647059,"YES",19131.5512820513,"2016-11-05",1,0.507251538636882,0.439361700344601,0.454879436914427
"73",21600087,"NYK","UTA","11/6/2016",32867,11,"Sunday","R",1,"NO","NO","EAST",26690.5,17971.8489208633,"YES",18895.3164556962,"2016-11-06",3,0.187924057565339,0.453194726599224,0.425097622061758
"74",21600088,"MEM","POR","11/6/2016",22621,11,"Sunday","R",0,"NO","NO","CENTRAL",12383,11201.5538461538,"YES",11282.4605263158,"2016-11-06",3,0.452588302904381,0.504816151091736,0.501239532897936
"75",21600089,"TOR","SAC","11/6/2016",19734,11,"Sunday","R",3,"NO","NO","EAST",16510,16713.4820143885,"YES",17227.5411764706,"2016-11-06",1,0.163372859025033,0.153061618810759,0.127012203482792
"76",21600090,"DAL","MIL","11/6/2016",19651,11,"Sunday","R",0,"NO","NO","CENTRAL",19651,12483.2945736434,"YES",13308.8421052632,"2016-11-06",1,0,0.36475016163842,0.322739702546275
"77",21600091,"BOS","DEN","11/6/2016",13062,11,"Sunday","R",1,"NO","NO","EAST",15642,22926.25,"YES",22790.7564102564,"2016-11-06",3,0.197519522278365,0.755186801408666,0.744813689347451
"78",21600092,"LAL","PHX","11/6/2016",23222,11,"Sunday","R",1,"NO","NO","PACIFIC",19818,21512,"YES",22874.0625,"2016-11-06",3,0.146585134785979,0.0736370682973043,0.0149830979243821
"79",21600094,"WAS","HOU","11/7/2016",20057,11,"Monday","R",2,"NO","YES","EAST",20057,15338.3970588235,"NO",15681.2432432432,"2016-11-07",7,0,0.23525965703627,0.218166064553859
"80",21600095,"CHA","IND","11/7/2016",13954,11,"Monday","R",1,"NO","NO","EAST",6554,13155.2125984252,"NO",14887.2972972973,"2016-11-07",3,0.530313888490755,0.0572443314873731,0.06688385389833
"81",21600097,"OKC","MIA","11/7/2016",21952,11,"Monday","R",4,"NO","YES","CENTRAL",21067,25807.0962962963,"NO",26510.6923076923,"2016-11-07",1,0.0403152332361516,0.17561480941583,0.207666376990357
"82",21600098,"LAC","DET","11/7/2016",14044,11,"Monday","R",2,"NO","NO","PACIFIC",15256.5,15720.2028985507,"NO",16329.9882352941,"2016-11-07",1,0.0863358017658787,0.11935366694323,0.162773300718749
"83",21600099,"GSW","NOP","11/7/2016",42524,11,"Monday","R",4,"NO","YES","PACIFIC",30719.5,34576.3823529412,"NO",34049.6666666667,"2016-11-07",3,0.277596180980152,0.186897226203058,0.199283541843038
"84",21600100,"CLE","ATL","11/8/2016",44960,11,"Tuesday","R",3,"YES","YES","EAST",44960,34747.8294573643,"NO",35420.0410958904,"2016-11-08",1,0,0.227139024524814,0.212187698045142
"85",21600101,"BKN","MIN","11/8/2016",18683,11,"Tuesday","R",0,"NO","NO","EAST",14948,12836.2480620155,"NO",13516.1369863014,"2016-11-08",8,0.199914360648718,0.312945026922041,0.276554247909791
"86",21600102,"MEM","DEN","11/8/2016",16643,11,"Tuesday","R",0,"NO","NO","CENTRAL",6589,11201.5538461538,"NO",11282.4605263158,"2016-11-08",5,0.604097818902842,0.326951039707153,0.322089735845954
"87",21600103,"POR","PHX","11/8/2016",16491,11,"Tuesday","R",0,"NO","NO","PACIFIC",8759,15273.7313432836,"NO",15213.8734177215,"2016-11-08",2,0.468861803407919,0.0738141202302115,0.0774438531488982
"88",21600104,"LAL","DAL","11/8/2016",24491,11,"Tuesday","R",1,"NO","NO","PACIFIC",20930.5,21512,"NO",22874.0625,"2016-11-08",2,0.145379935486505,0.121636519537789,0.0660217018496591
"89",21600105,"SAC","NOP","11/8/2016",9374,11,"Tuesday","R",2,"NO","YES","PACIFIC",10158,12237.7954545455,"NO",12285.3815789474,"2016-11-08",5,0.0836355877960316,0.305504102255756,0.3105804970074
"90",21600106,"NYK","BKN","11/9/2016",23224,11,"Wednesday","R",1,"NO","NO","EAST",13323.5,17971.8489208633,"NO",18895.3164556962,"2016-11-09",13,0.426304684808818,0.226151872163998,0.186388371697545
"91",21600107,"WAS","BOS","11/9/2016",11471,11,"Wednesday","R",2,"NO","NO","EAST",15612,15338.3970588235,"NO",15681.2432432432,"2016-11-09",13,0.360997297532909,0.3371455896455,0.36703367127916
"92",21600108,"CHA","UTA","11/9/2016",9833,11,"Wednesday","R",0,"NO","NO","EAST",9833,13155.2125984252,"NO",14887.2972972973,"2016-11-09",3,0,0.337863581656178,0.514013759513607
"93",21600109,"ORL","MIN","11/9/2016",10826,11,"Wednesday","R",0,"NO","NO","EAST",13184.5,12284.847826087,"NO",12796.6506024096,"2016-11-09",13,0.217855163495289,0.134754094410397,0.18202942937462
"94",21600110,"IND","PHI","11/9/2016",18285,11,"Wednesday","R",1,"NO","NO","EAST",17194,13494.3043478261,"NO",14660.3580246914,"2016-11-09",13,0.0596663932184851,0.262001402908062,0.198230351397793
"95",21600111,"ATL","CHI","11/9/2016",19354,11,"Wednesday","R",4,"NO","NO","EAST",13129.5,12830.5214285714,"NO",14181.2117647059,"2016-11-09",3,0.321613103234474,0.337060998833759,0.267272307290179
"96",21600114,"SAS","HOU","11/9/2016",30160,11,"Wednesday","R",3,"NO","YES","CENTRAL",30160,19676.1617647059,"NO",19131.5512820513,"2016-11-09",3,0,0.347607368544235,0.365664745290077
"97",21600115,"LAC","POR","11/9/2016",14308,11,"Wednesday","R",1,"NO","NO","PACIFIC",14308,15720.2028985507,"NO",16329.9882352941,"2016-11-09",1,0,0.09870023053891,0.141318719268529
"98",21600116,"GSW","DAL","11/9/2016",30939,11,"Wednesday","R",3,"NO","YES","PACIFIC",24217,34576.3823529412,"NO",34049.6666666667,"2016-11-09",3,0.217266233556353,0.117566254660499,0.100541926586724
"99",21600117,"MIL","NOP","11/10/2016",19504,11,"Thursday","R",1,"NO","YES","CENTRAL",20791.5,15740.7731092437,"NO",16752.661971831,"2016-11-10",2,0.0660121000820345,0.192946415645832,0.141065321378641
"100",21600118,"MIA","CHI","11/10/2016",33327,11,"Thursday","R",4,"NO","NO","EAST",20142.5,14465.2941176471,"NO",14418.0240963855,"2016-11-10",2,0.395610165931527,0.565958708625227,0.567377078753397
"101",21600120,"SAC","LAL","11/10/2016",21465,11,"Thursday","R",2,"NO","NO","PACIFIC",18324,12237.7954545455,"NO",12285.3815789474,"2016-11-10",2,0.146331236897275,0.429872096224298,0.427655179177854
"102",21600121,"PHI","IND","11/11/2016",26058,11,"Friday","R",1,"NO","NO","EAST",22731.5,19598.6,"NO",21474.447761194,"2016-11-11",9,0.12765753319518,0.247885486223041,0.175898082692684
"103",21600123,"CHA","TOR","11/11/2016",18236,11,"Friday","R",2,"NO","NO","EAST",13817.5,13155.2125984252,"NO",14887.2972972973,"2016-11-11",2,0.242295459530599,0.278613040226739,0.1836314269962
"104",21600124,"ORL","UTA","11/11/2016",8935,11,"Friday","R",0,"NO","NO","EAST",9265,12284.847826087,"NO",12796.6506024096,"2016-11-11",5,0.0369334079462787,0.374913019147953,0.432193688014509
"105",21600125,"BOS","NYK","11/11/2016",26413,11,"Friday","R",2,"NO","NO","EAST",24807.5,22926.25,"NO",22790.7564102564,"2016-11-11",12,0.0607844621966456,0.132008859273842,0.137138666177397
"106",21600126,"OKC","LAC","11/11/2016",34404,11,"Friday","R",3,"NO","YES","CENTRAL",32795,25807.0962962963,"NO",26510.6923076923,"2016-11-11",1,0.0467678176956168,0.249880935464007,0.229429941062309
"107",21600127,"SAS","DET","11/11/2016",18795,11,"Friday","R",3,"NO","NO","CENTRAL",16189.5,19676.1617647059,"NO",19131.5512820513,"2016-11-11",5,0.138627294493216,0.0468827754565513,0.0179064262863145
"108",21600128,"POR","SAC","11/11/2016",19891,11,"Friday","R",1,"NO","NO","PACIFIC",7069,15273.7313432836,"NO",15213.8734177215,"2016-11-11",5,0.644613141621839,0.232128533342538,0.235137830288999
"109",21600129,"NOP","LAL","11/12/2016",31346,11,"Saturday","R",2,"NO","YES","CENTRAL",18498.5,15234.5474452555,"YES",15788.0731707317,"2016-11-12",6,0.409860907292797,0.513987512114609,0.496328936045055
"110",21600131,"TOR","NYK","11/12/2016",28280,11,"Saturday","R",3,"NO","NO","EAST",16347.5,16713.4820143885,"YES",17227.5411764706,"2016-11-12",2,0.421941301272984,0.408999928769855,0.390822447790998
"111",21600135,"MIN","LAC","11/12/2016",17917,11,"Saturday","R",1,"NO","NO","CENTRAL",12297,16818.802919708,"YES",16728.7710843373,"2016-11-12",1,0.313668582910085,0.0612935804148,0.0663185195994112
"112",21600136,"MIA","UTA","11/12/2016",7971,11,"Saturday","R",2,"NO","NO","EAST",13379.5,14465.2941176471,"YES",14418.0240963855,"2016-11-12",2,0.678522142767532,0.814740197923355,0.808809948110092
"113",21600137,"MIL","MEM","11/12/2016",10469,11,"Saturday","R",0,"NO","NO","CENTRAL",14335,15740.7731092437,"YES",16752.661971831,"2016-11-12",9,0.369280733594422,0.503560331382529,0.600216063791287
"114",21600139,"PHX","BKN","11/12/2016",9926,11,"Saturday","R",0,"NO","NO","MOUNTAIN",13074.5,12174.5109489051,"YES",12870.6049382716,"2016-11-12",14,0.317197259721942,0.226527397632995,0.296655746350152
"115",21600141,"OKC","ORL","11/13/2016",28191,11,"Sunday","R",2,"NO","YES","CENTRAL",20992.5,25807.0962962963,"YES",26510.6923076923,"2016-11-13",3,0.255347451314249,0.0845625803874891,0.0596044018412859
"116",21600142,"MIN","LAL","11/13/2016",27046,11,"Sunday","R",1,"NO","NO","CENTRAL",24710,16818.802919708,"YES",16728.7710843373,"2016-11-13",3,0.0863713673001553,0.378140837103157,0.381469678165446
"117",21600143,"GSW","PHX","11/13/2016",39426,11,"Sunday","R",3,"NO","YES","PACIFIC",19267,34576.3823529412,"YES",34049.6666666667,"2016-11-13",1,0.511312331963679,0.123005571122072,0.136365173574122
"118",21600144,"POR","DEN","11/13/2016",13463,11,"Sunday","R",0,"NO","NO","PACIFIC",12940,15273.7313432836,"YES",15213.8734177215,"2016-11-13",3,0.0388472108742479,0.134496868698179,0.130050762662224
"119",21600145,"IND","ORL","11/14/2016",14038,11,"Monday","R",1,"NO","NO","EAST",10659.5,13494.3043478261,"NO",14660.3580246914,"2016-11-14",8,0.240668186351332,0.0387302786845643,0.0443338099936856
"120",21600146,"NYK","DAL","11/14/2016",21157,11,"Monday","R",1,"NO","NO","EAST",12311,17971.8489208633,"NO",18895.3164556962,"2016-11-14",12,0.418112208725245,0.150548332898648,0.106900011547185
"121",21600150,"SAS","MIA","11/14/2016",15588,11,"Monday","R",4,"NO","NO","CENTRAL",13241,19676.1617647059,"NO",19131.5512820513,"2016-11-14",2,0.150564536823197,0.262263392654983,0.227325589046143
"122",21600151,"UTA","MEM","11/14/2016",12146,11,"Monday","R",0,"NO","NO","MOUNTAIN",11067,12989.6086956522,"NO",12508.2771084337,"2016-11-14",2,0.088835830726165,0.0694556805246315,0.0298268655058237
"123",21600152,"LAC","BKN","11/14/2016",13046,11,"Monday","R",1,"NO","NO","PACIFIC",13046,15720.2028985507,"NO",16329.9882352941,"2016-11-14",1,0,0.204982592254386,0.251723764778025
"124",21600153,"CLE","TOR","11/15/2016",40979,11,"Tuesday","R",3,"YES","YES","EAST",38600.5,34747.8294573643,"NO",35420.0410958904,"2016-11-15",1,0.0580419239122477,0.152057652520453,0.135653844752424
"125",21600154,"MIA","ATL","11/15/2016",19854,11,"Tuesday","R",4,"NO","NO","EAST",15668,14465.2941176471,"NO",14418.0240963855,"2016-11-15",2,0.210839125617004,0.271416635557215,0.273797517055226
"126",21600155,"MIN","CHA","11/15/2016",16568,11,"Tuesday","R",0,"NO","NO","CENTRAL",13615,16818.802919708,"NO",16728.7710843373,"2016-11-15",5,0.178235152100435,0.0151377909046372,0.00970371102953584
